"pred_date","Y","X1","X2","X3","X4","X5","X6","X7","X8","X9","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X28","X29","X30","X31","X32","X33"
"2014-07-06",0,0,0,0,0,0,9,0,0,0,0,0,44,0,0,0,0,11,0,0,24,0,0,0,0,0,0,19,0,18,7,44
"2014-07-13",0,0,0,0,0,0,9,0,0,0,0,0,13,0,0,0,0,17,0,0,0,10,0,0,0,0,0,42,0,7,0,35
"2014-07-20",0,0,6,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,13,0,34
"2014-07-27",0,0,7,0,14,23,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,0,9,0,0,0,24,18,12,0,34
"2014-08-03",0,8,0,0,0,7,0,0,0,0,21,0,26,0,0,0,0,25,0,26,19,0,11,12,0,0,8,40,0,0,0,62
"2014-08-10",0,0,0,0,11,25,0,0,0,0,0,0,18,0,0,0,10,11,0,31,0,0,0,0,7,0,7,17,0,0,0,80
"2014-08-17",0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,20,51,0,0,7,0,0,0,9,0,7,19,0,6,0,69
"2014-08-24",0,0,0,11,0,19,0,0,0,0,0,0,9,0,0,0,0,10,12,0,0,17,0,0,0,0,0,0,0,10,0,57
"2014-08-31",0,13,0,0,0,22,0,0,0,0,0,0,0,0,0,0,7,13,0,0,11,0,9,19,0,0,0,28,0,10,0,41
"2014-09-07",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,11,0,0,0,0,13,0,0,0,0,44,0,10,0,36
"2014-09-14",0,9,0,0,0,10,0,0,0,0,0,0,12,0,0,0,0,28,0,0,19,9,0,7,0,0,10,16,0,14,0,51
"2014-09-21",0,0,0,0,0,17,0,0,0,0,0,0,8,0,0,0,8,32,0,0,0,0,0,0,0,0,0,18,0,6,0,37
"2014-09-28",0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,10,0,0,0,0,0,29,6,9,0,22
"2014-10-05",0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,28,12,0,0,0,0,13,0,0,0,0,0,0,0,18
"2014-10-12",0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,11,21,0,0,0,11,0,0,0,0,0,0,0,0,0,15
"2014-10-19",0,0,0,0,13,12,15,0,0,0,0,0,9,0,0,0,0,11,0,14,0,0,0,16,0,0,0,19,11,7,0,50
"2014-10-26",0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,30,6,0,0,22,0,8,0,56
"2014-11-02",0,8,0,12,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,8,0,15,34,0,11,6,37
"2014-11-09",0,0,0,0,0,21,0,0,0,0,10,0,39,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,7,0,42
"2014-11-16",0,0,18,20,0,0,0,0,0,0,9,0,0,0,0,0,0,21,0,0,0,0,8,0,0,0,0,33,0,7,0,44
"2014-11-23",0,0,6,0,0,22,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,8,10,0,0,0,44,0,13,0,22
"2014-11-30",0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10,0,10,0,0,0,0,20,0,0,0,0,10,9,58
"2014-12-07",0,0,0,0,0,20,0,0,0,0,0,0,9,0,0,0,0,21,0,0,0,0,0,14,0,0,9,12,0,5,0,0
"2014-12-14",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9,0,0,6,0,0,14,0,0,8,11,0,14,0,38
"2014-12-21",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,8,0,0,0,25,0,0,6,37
"2014-12-28",0,0,24,0,0,0,0,0,0,0,0,0,11,0,0,0,0,23,21,0,0,15,0,9,0,0,0,0,0,20,12,42
"2015-01-04",0,0,0,0,0,29,0,0,0,0,0,0,33,0,0,0,0,22,0,0,0,0,0,7,0,0,0,17,0,13,0,51
"2015-01-11",0,10,0,0,0,10,0,0,0,0,0,0,30,0,0,0,0,8,0,0,0,0,9,0,7,0,0,24,0,0,0,43
"2015-01-18",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,14,16,0,0,11,0,0,30,19,0,0,37,0,0,0,41
"2015-01-25",0,7,0,0,16,15,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,0,8,12,0,0,8,40,18,0,15,30
"2015-02-01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,12,7,0,0,27,0,8,0,30
"2015-02-08",0,0,0,0,0,27,0,0,0,0,0,0,8,0,0,0,0,27,0,0,0,0,0,14,0,0,9,36,15,8,0,35
"2015-02-15",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,6,10,10,0,0,0,0,39,0,0,0,23,0,18,35,40
"2015-02-22",0,10,0,0,0,12,0,0,0,0,0,0,7,0,0,0,0,9,0,0,0,7,0,10,0,0,0,37,0,0,12,53
