"st1_date","st1_term1","st1_hit1","st1_term2","st1_hit2","st1_term3","st1_hit3","st1_term4","st1_hit4","st1_term5","st1_hit5","st2_term1","st2_hit1","st2_term2","st2_hit2","st2_term3","st2_hit3","st2_term4","st2_hit4","st3_term2","st3_hit2","st3_term3","st3_hit3","st3_term4","st3_hit4","st4_term1","st4_hit1","st4_term2","st4_hit2","st4_term3","st4_hit3","st4_term4","st4_hit4","st5_term1","st5_hit1","st5_term2","st5_hit2","st5_term3","st5_hit3","st5_term4","st5_hit4","st6_term1","st6_hit1","st6_term2","st6_hit2","st6_term3","st6_hit3","st6_term4","st6_hit4","st7_term1","st7_hit1","st7_term2","st7_hit2","st7_term3","st7_hit3","st8_term1","st8_hit1","st8_term2","st8_hit2","st8_term3","st8_hit3","st8_term4","st8_hit4"
2016-05-29,"aedes",20,"aedes aegypti",0,"aegypti",12,"vomit",0,"mosquito",14,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",12,"new dengue virus",0,"DENV",0,"DHF",0,"disease",11,"pain",21,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",16,"zancudo",8,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",21,"náuseas",5,"vomitar",7,"vómitos",0,"fiebre",62
2016-06-05,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",7,"mosquito",10,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",8,"mosquitoes",0,"fever",9,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",12,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",21,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",35,"náuseas",0,"vomitar",11,"vómitos",5,"fiebre",76
2016-06-12,"aedes",0,"aedes aegypti",0,"aegypti",9,"vomit",0,"mosquito",15,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",11,"mosquitoes",0,"fever",8,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",51,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",8,"dolor de cabeza",31,"náuseas",0,"vomitar",13,"vómitos",0,"fiebre",41
2016-06-19,"aedes",0,"aedes aegypti",0,"aegypti",9,"vomit",0,"mosquito",9,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",19,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",16,"rash",0,"headache",0,"nausea",7,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",11,"nuevo virus del dengue",0,"erupción",7,"dolor de cabeza",24,"náuseas",0,"vomitar",7,"vómitos",0,"fiebre",45
2016-06-26,"aedes",9,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",7,"dengue virus",9,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",7,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",20,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",26,"náuseas",0,"vomitar",9,"vómitos",0,"fiebre",54
2016-07-03,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",8,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",17,"new dengue virus",0,"DENV",0,"DHF",0,"disease",8,"pain",16,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",7,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",23,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",41
2016-07-10,"aedes",11,"aedes aegypti",0,"aegypti",23,"vomit",0,"mosquito",0,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",16,"rash",0,"headache",0,"nausea",0,"virus del dengue",8,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",48,"náuseas",10,"vomitar",0,"vómitos",0,"fiebre",49
2016-07-17,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",10,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",8,"mosquitoes",0,"fever",7,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",6,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",0,"náuseas",0,"vomitar",5,"vómitos",6,"fiebre",40
2016-07-24,"aedes",0,"aedes aegypti",0,"aegypti",0,"vomit",0,"mosquito",11,"dengue virus",0,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",0,"new dengue virus",0,"DENV",0,"DHF",0,"disease",0,"pain",26,"rash",25,"headache",0,"nausea",9,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",9,"náuseas",0,"vomitar",34,"vómitos",0,"fiebre",46
2016-07-31,"aedes",0,"aedes aegypti",0,"aegypti",9,"vomit",24,"mosquito",14,"dengue virus",10,"dengue fever",0,"dengue hemorrhagic fever",0,"dengue symptoms",0,"mosquito dengue",0,"mosquitoes",0,"fever",20,"new dengue virus",0,"DENV",0,"DHF",0,"disease",6,"pain",24,"rash",0,"headache",0,"nausea",0,"virus del dengue",0,"síntomas del dengue",0,"mosquitos",0,"zancudo",0,"nuevo virus del dengue",0,"erupción",0,"dolor de cabeza",26,"náuseas",0,"vomitar",0,"vómitos",0,"fiebre",31
